id,provider_name,last_collection_total,baseurl,oai_set
openaire____::issn20505833,Architectural Histories,164,http://journal.eahn.org/index.php/up/oai,up
openaire____::ikipbudiutomomalang,Jurnal Elektronik IKIP Budi Utomo Malang,439,http://ejurnal.budiutomomalang.ac.id/index.php/index/oai,""
driver______::c1adfd45-c694-42c6-b1d3-95d0f3d61d08,Archives des thèses et mémoires de l’ISAE (ArTeMIS),664,http://ori-oai.isae.fr/ori-oai-repository/OAIHandler,""
opendoar____::3157,All Ireland Public Health Repository,2416,http://repository.thehealthwell.info/oai,openaire
opendoar____::1791,VID:Open,3057,https://vid.brage.unit.no/vid-oai/openaire,""
opendoar____::4131,FER Repository,6359,https://repozitorij.fer.unizg.hr/oai,""
opendoar____::478,Giessener Elektronische Bibliothek,13158,http://geb.uni-giessen.de/geb/oai/oai2.php,""
openaire____::issn13001337,EĞİTİM VE BİLİM,2022,http://egitimvebilim.ted.org.tr/index.php/EB/oai.,EB:MAK
opendoar____::1798,Brage HiM,1543,https://himolde.brage.unit.no/himolde-oai/openaire,""
opendoar____::199,Kölner UniversitätsPublikationsServer,6498,https://kups.ub.uni-koeln.de/cgi/oai2,""
re3data_____::r3d100011867,SEANOE,8488,http://oai.datacite.org/oai,INIST.IFREMER
openaire____::VW5pdmVyc2l0YXMgMTcgQWd1c3R1cyAxOTQ1IFN1cmFiYXlh,Universitas 17 Agustus 1945 Surabaya,2351,http://jurnal.untag-sby.ac.id/index.php/index/oai,""
opendoar____::2079,Repositori d'Objectes Digitals per a l'Ensenyament la Recerca i la Cultura,53341,http://roderic.uv.es/oai/request,""
opendoar____::1961,Universidade de Lisboa: Repositório.UL,36983,http://repositorio.ul.pt/oaiextended/request,""
opendoar____::3726,Archivo Climatológico y Meteorológico Institucional de AEMET,10650,https://repositorio.aemet.es/oai/openaire,""
opendoar____::715,Konstanzer Online-Publikations-System,21443,https://kops.uni-konstanz.de/oai/openaire,openaire
opendoar____::2403,Repositorio Institucional Digital del IEO,6143,http://www.repositorio.ieo.es/oai/openaire,""
openaire____::0JjQt9C00LDRgtC10LvRjNGB0LrQuNC5INC00L7QvCDCq9Ch0YDQtdC00LDCuw==,Издательский дом «Среда»,2780,https://phsreda.com/oai,"conference,driver,journal,monography,openaire,year_2017,year_2018,year_2019"
opendoar____::1002,NERC Open Research Archive,21288,http://nora.nerc.ac.uk/cgi/oai2,driver
opendoar____::3458,UAJY repository,4114,http://e-journal.uajy.ac.id/cgi/oai2/,driver
opendoar____::133,edoc-Server. Open-Access-Publikationsserver der Humboldt-Universität zu Berlin ,20920,https://edoc.hu-berlin.de/oai/openaire,""
openaire____::issn14117649,Veritas : Jurnal Teologi dan Pelayanan,293,http://ojs.seabs.ac.id/index.php/Veritas/oai,""
share_______::Preprintsorg,Preprints.org,14993,https://www.preprints.org/oaipmh,""
opendoar____::4865,Mardin Artuklu University Institutional Repository,1822,http://acikerisim.artuklu.edu.tr/oai/request,""
